Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
Nike case study: influencer marketing,"Each month, over 1000 influencers tag @nike on Instagram.",1,Swaymap,Swaymap,2019,9,3,big-data,3,0,0,https://medium.com/swaymap/nike-case-study-influencer-marketing-85828f426668?source=tag_archive---------4-----------------------,https://medium.com/@swaymap?source=tag_archive---------4-----------------------
Male vs. Female: How to Properly Use Gender Approach Marketing In A Restaurant Business,NaN,1,Alex Zbooker Founder of datasetsDB,NaN,2019,9,3,big-data,10,77,0,https://medium.com/@namegenderpro/male-vs-female-how-to-properly-use-gender-approach-marketing-in-a-restaurant-business-420794c2e521?source=tag_archive---------5-----------------------,https://medium.com/@namegenderpro?source=tag_archive---------5-----------------------
3 Web Scraping Applications to Make Money,Can you believe that 70% of Internet traffic was created by spiders*? It is shockingly,1,Octoparse,NaN,2019,9,3,big-data,4,5,0,https://medium.com/@octoparsewebscraping/3-web-scraping-applications-to-make-money-3c31d61b25d1?source=tag_archive---------6-----------------------,https://medium.com/@octoparsewebscraping?source=tag_archive---------6-----------------------
A Parallelized Approach to Audience Creation in Facebook using Kafka,NaN,1,Nick Nathan,unified-engineering,2019,9,3,big-data,5,84,0,https://medium.com/unified-engineering/a-parallelized-approach-to-audience-creation-in-facebook-using-kafka-f0c727ef8913?source=tag_archive---------7-----------------------,https://medium.com/@nnathan_unified?source=tag_archive---------7-----------------------
The path to saving the jobs we automate out (its a tricky one),NaN,1,Ted Bauer,The Startup,2019,9,3,big-data,6,25,0,https://medium.com/swlh/the-path-to-saving-the-jobs-we-automate-out-its-a-tricky-one-4793f349a25c?source=tag_archive---------8-----------------------,https://medium.com/@tedbauer2003?source=tag_archive---------8-----------------------
Data Engineering Digest #3 (August 2019),Here are the highlighs of what is happening in the Data,1,Maycon Viana Bordin,data.plumbers,2019,9,3,big-data,8,1,0,https://medium.com/data-plumbers/data-engineering-digest-3-august-2019-33ff41274dec?source=tag_archive---------9-----------------------,https://medium.com/@mayconbordin?source=tag_archive---------9-----------------------
How to Build Your Data Science Team,"The experience of working across domains, building solutions leveraging data has taught me that a",1,Akash Bajpai,MyTake,2019,9,3,big-data,4,78,0,https://medium.com/mytake/how-to-build-your-data-science-team-bd986b758284?source=tag_archive---------10-----------------------,https://medium.com/@akash.baj03?source=tag_archive---------10-----------------------
High-Speed Querying with Confluo from RISElab,Lets learn how Confluo can help to solve the challenges,1,Alibaba Cloud,Data Driven Investor,2019,9,3,big-data,7,4,0,https://medium.com/datadriveninvestor/high-speed-querying-with-confluo-from-riselab-445bed3f7f9a?source=tag_archive---------11-----------------------,https://medium.com/@Alibaba_Cloud?source=tag_archive---------11-----------------------
Simon Wright from Genesys on why VR and AR could illuminate data in new ways,The need for clearer data,1,Digital Bulletin,Digital Bulletin,2019,9,3,big-data,7,0,0,https://medium.com/digital-bulletin/simon-wright-from-genesys-on-why-vr-and-ar-could-illuminate-data-in-new-ways-2452f3de4bed?source=tag_archive---------12-----------------------,https://medium.com/@DigitalBulletin?source=tag_archive---------12-----------------------
"LGPD: dados com nome, sobrenome e autorizao","Voc s comprou um calado novo. Passados alguns dias, comeam a te ligar de outras empresas oferecendo plano de telefonia, internet, voc recebe emails de empresas com as quais nunca manteve contato. Tudo isso porque, no momento da compra do",0,Ap  F cil,NaN,2019,9,3,big-data,4,1,0,https://medium.com/@ApeFacil/lgpd-dados-com-nome-sobrenome-e-autoriza%C3%A7%C3%A3o-2b89281f6176?source=tag_archive---------13-----------------------,https://medium.com/@ApeFacil?source=tag_archive---------13-----------------------
"BookMyShow.com: More Uptime, 30% Less Operational Cost with TiDB",NaN,1,PingCAP,NaN,2019,9,3,big-data,4,0,0,https://medium.com/@PingCAP/bookmyshow-com-more-uptime-30-less-operational-cost-with-tidb-5e8725284ab4?source=tag_archive---------14-----------------------,https://medium.com/@PingCAP?source=tag_archive---------14-----------------------
Artificial IntelligenceWho Will Rule the World?,NaN,1,"Robert Brunet, PhD",NaN,2019,9,3,big-data,4,65,0,https://medium.com/@robert.brunet.phd/artificial-intelligence-who-will-rule-the-world-1a7bd29bac90?source=tag_archive---------15-----------------------,https://medium.com/@robert.brunet.phd?source=tag_archive---------15-----------------------
     9  ,NaN,1,Tsengel Ganbaatar,NaN,2019,9,3,big-data,3,0,0,https://medium.com/@tsengel0928/%D0%B8%D1%85-%D3%A9%D0%B3%D3%A9%D0%B3%D0%B4%D3%A9%D0%BB%D0%B8%D0%B9%D0%B3-%D0%BE%D0%B9%D0%BB%D0%B3%D0%BE%D1%85%D0%BE%D0%B4-%D1%85%D1%8D%D1%80%D1%8D%D0%B3-%D0%B1%D0%BE%D0%BB%D0%BE%D1%85-9-%D0%BD%D1%8D%D1%80-%D1%82%D0%BE%D0%BC%D1%8C%D1%91%D0%BE-7cf9b0cf892e?source=tag_archive---------16-----------------------,https://medium.com/@tsengel0928?source=tag_archive---------16-----------------------
What to do with dormant data?,In this data dominant landscape businesses are under a lot of pressure to capture customer information and,1,Gather Capture,NaN,2019,9,3,big-data,3,0,0,https://medium.com/@gathercapture/what-to-do-with-dormant-data-deb84b0f8ee2?source=tag_archive---------17-----------------------,https://medium.com/@gathercapture?source=tag_archive---------17-----------------------
DATA INGESTION PHASE FOR MIGRATING ENTERPRISE DATA INTO HADOOP DATA LAKE,NaN,1,Gautam Goswami,NaN,2019,9,3,big-data,4,0,0,https://medium.com/@gautambangalore/data-ingestion-phase-for-migrating-enterprise-data-into-hadoop-data-lake-4975a28292d6?source=tag_archive---------18-----------------------,https://medium.com/@gautambangalore?source=tag_archive---------18-----------------------
Bigtits pornstar,NaN,0,XXXvlet,NaN,2019,9,3,big-data,1,0,0,https://medium.com/@naetweets/bigtits-pornstar-89518af0efb6?source=tag_archive---------19-----------------------,https://medium.com/@naetweets?source=tag_archive---------19-----------------------
Health Care Big Data and Improved Quality of Care,"As healthcare costs continue to rise in the United States, hospitals turn to big data to improve safety, quality, and cost. According to McKinsey & Company, big data can save 15% of the $3 trillion per year that the United States spends on",0,Michael Chuley,NaN,2019,9,3,big-data,5,0,0,https://medium.com/@michaelchuley09/health-care-big-data-and-improved-quality-of-care-17a750aae03e?source=tag_archive---------20-----------------------,https://medium.com/@michaelchuley09?source=tag_archive---------20-----------------------
NaN,NaN,1,"Adam Tabriz, MD",NaN,2019,9,3,big-data,1,0,0,https://medium.com/@Adamtabriz/looking-back-into-the-evolution-of-big-data-and-putting-pieces-of-the-puzzle-together-data-1cf01b6f0a80?source=tag_archive---------21-----------------------,https://medium.com/@Adamtabriz?source=tag_archive---------21-----------------------
